source,target,weight
about,accordingly,0.2180086112104819
about,round,0.17931959248298074
against,beyond,0.17629890564863915
all,accordingly,0.20709156851532
all,past,0.20161637621476686
all,since,0.18313022982841132
all,various,0.1758854353486088
along,accordingly,0.20745444392734488
an,accordingly,0.17344251088160828
any,accordingly,0.21073030144888463
any,neither,0.17752885703085053
anyone,no,0.19197748874766704
around,accordingly,0.23500890210225087
as,round,0.2018356159560649
at,accordingly,0.19602683930371145
at,round,0.18193777961983756
at,something,0.18295661569276553
at,us,0.17386766792395295
at,yet,0.19738823817485934
away,once,0.18783153936543467
behind,round,0.21724520646938852
besides,us,0.18205572464069242
between,various,0.18757774220993811
but,accordingly,0.19110755660938417
but,once,0.18035524358896673
by,accordingly,0.20209332634445284
dare,nor,0.1941251179930584
dare,yet,0.17885943849923783
down,accordingly,0.22080942450011384
down,round,0.17750269592363513
down,us,0.1992094503517309
due,nor,0.18158028635917392
each,beneath,0.19215409752586798
either,round,0.18776731821176024
either,since,0.18344787532964377
few,however,0.18044279300726943
few,such,0.17502504840847716
from,nothing,0.17574094535423254
from,past,0.20370969295476515
from,yet,0.20372548208156846
given,accordingly,0.19143144743321083
given,since,0.19044035686893773
however,spite,0.174905681703812
view,accordingly,0.22614748407918173
instead,accordingly,0.19686476972108768
it,everything,0.18143747717841427
it,save,0.17811166800522985
it,us,0.18138889006238054
it,various,0.17382026083419527
it,yet,0.21672708998859933
its,yet,0.19752330415282285
like,accordingly,0.19546664175556677
like,nothing,0.17813878405953049
like,yet,0.19975286659268138
little,beneath,0.1777194773798566
little,beyond,0.17972330709586679
may,accordingly,0.1820062847169963
may,nothing,0.18833998874617178
may,various,0.17981112562713453
might,accordingly,0.22451279696709292
more,nor,0.1800019028650158
more,nothing,0.20016100663945807
more,round,0.20504333677506054
more,something,0.18295132502163347
more,us,0.18819607723176482
more,yet,0.18807727083992637
most,various,0.18575479725585056
next,accordingly,0.22570719261769548
no,round,0.18236419342411478
no,since,0.17896251995880208
of,accordingly,0.17633754296001516
off,accordingly,0.17741327773596136
other,accordingly,0.2332668372801989
other,less,0.17662646194497683
other,none,0.20001608296986695
other,round,0.17999932059681503
ought,accordingly,0.19706181153538987
ought,no,0.17500754519433673
our,accordingly,0.18799608134969462
our,yet,0.1884813857220864
over,accordingly,0.22399676587002182
over,nor,0.19735971939378177
over,round,0.19264010335892864
over,yet,0.20818182666286034
should,accordingly,0.19212414563812752
since,nor,0.1756484224655089
some,round,0.17397818691682024
that,round,0.1853736061652235
that,save,0.17318914389397028
that,yet,0.1862710849438368
the,since,0.18289563483052101
them,yet,0.20794602019771996
then,accordingly,0.1874813278532255
then,none,0.183498746043706
then,round,0.2143814293203678
then,yet,0.18265407421675703
thence,round,0.1770173263812318
these,accordingly,0.18495465501865624
these,us,0.17477524411232934
these,yet,0.18554610543350247
though,yet,0.1942148881903846
to,spite,0.19476620162541858
to,like,0.18238001471067214
to,neither,0.20678740763572503
to,nor,0.2123309928554232
to,past,0.1842346903482953
to,since,0.18521276128282363
to,than,0.17957443492064268
to,yet,0.21662691030249842
toward,accordingly,0.2434793525219182
toward,neither,0.17724280335359138
toward,round,0.22802964772337833
under,various,0.17726136611185006
us,accordingly,0.22714160080224674
us,nor,0.1848424412719803
us,then,0.1776738938275499
when,accordingly,0.18529885620171235
where,accordingly,0.17768230475486443
whether,since,0.18676946389615084
which,round,0.20379787729292972
which,something,0.17489748915476575
while,nothing,0.18506552332261836
while,yet,0.20284656179334545
who,beyond,0.17859439990234963
who,since,0.18733946675695276
who,something,0.17864672180184243
will,accordingly,0.22298614117090568
will,nor,0.17953388389589617
will,nothing,0.17697447058086
with,accordingly,0.2177973875646116
with,then,0.17321763220853167
within,nothing,0.2007830500140482
without,since,0.19638074762667745
without,yet,0.20594662124052152
would,accordingly,0.20726085840347114
would,none,0.18611035895653918
would,round,0.1757271679494294
