source,target,weight
bit,away,0.15220636721205477
bit,little,0.13570324426299551
aboard,can,0.12967416652158456
about,bit,0.11401063443787493
about,away,0.1549687905614804
about,its,0.11898347030704877
about,till,0.1396047675745059
about,whatever,0.13724901368362646
above,above,0.1276135008969084
above,what,0.12218410789648652
above,would,0.12405226242313394
across,across,0.1310039921122081
across,away,0.14968396784083415
across,could,0.11492702117347428
against,away,0.11831830665599766
against,spite,0.1380537108664897
against,little,0.1533571912247295
all,above,0.14112188638114906
all,against,0.12836776125031896
all,between,0.12406445930787527
all,its,0.13242547293108642
all,these,0.11464561785012081
all,till,0.12306515253092835
all,whether,0.1452576893173602
all,would,0.114008569259915
along,and,0.1138727782469858
along,away,0.14605459666556603
along,both,0.15521000000354165
and,through,0.11547752230704862
and,whether,0.1204257185207124
another,as,0.1275553582370419
another,away,0.1286129479598137
another,till,0.16333942278140523
another,toward,0.12006330989345694
another,until,0.14307120426623707
any,bit,0.11571727382850662
any,away,0.15141785077979855
any,its,0.12879778042018952
any,less,0.1298691253988104
any,since,0.11798093030039321
anyone,away,0.11848244232864238
anyone,dare,0.13603932913268335
anything,both,0.1295200692665875
anything,little,0.11554162627796924
around,from,0.11999266848742339
around,little,0.12379253795146086
around,some,0.11698660875082623
as,against,0.12670706045432253
as,away,0.15470912077831792
as,both,0.15306735873969607
as,spite,0.14194517003356766
as,its,0.12739485139138962
as,less,0.11496555482079296
as,our,0.1307022766602489
as,through,0.1444261364670157
as,till,0.1263362356159139
as,whatever,0.11558284930322019
aside,away,0.11759987852285758
at,above,0.11708443138798166
at,everyone,0.12004363142539375
at,spite,0.12414936142144305
at,little,0.13299270584915865
at,plenty,0.1252084216577264
barring,its,0.1234631163301854
because,against,0.12020087517394998
because,away,0.1368262846256674
because,more,0.14122920241842282
because,what,0.132221136673658
before,bit,0.1208343696944573
before,away,0.14362336843309187
before,can,0.11520670763197181
before,spite,0.13607112432995358
before,itself,0.11453755429863423
before,one,0.13396215595602975
before,through,0.12014551094641056
behind,away,0.12312396150979207
behind,both,0.1383660235201457
behind,our,0.12365304991715236
below,of,0.11632471097155603
between,bit,0.1190282641599572
between,against,0.12405417567247574
between,between,0.11847548210788847
between,little,0.13338022970260022
both,both,0.1374152966509571
both,little,0.13147033946089212
both,these,0.12509239178784642
both,upon,0.1335353338588446
both,which,0.12131592328738805
but,bit,0.11746856275204691
but,and,0.12413652244936917
but,away,0.11713494958257825
but,because,0.13043922500954921
but,dare,0.12339926309410194
but,enough,0.12699402825635916
but,spite,0.14934000510657514
but,like,0.1268137250979702
but,lots,0.14827004237771696
but,one,0.1316867751893083
but,till,0.17990261986235911
but,towards,0.11439351259937652
but,until,0.15549292924026126
but,whether,0.14985322786618244
by,towards,0.12078818068325736
certain,spite,0.1307838876620181
certain,little,0.1457443282511437
certain,which,0.12334644976572721
