source,target,weight
a,these,0.18785505954585865
along,little,0.19392297856513985
among,certain,0.22014702101018221
among,less,0.20070273031193925
any,these,0.2105752337084374
at,these,0.19641461938088126
before,several,0.20549575464196387
between,little,0.19104767244504722
every,these,0.18916007918051797
for,certain,0.1992074512877282
from,these,0.2041618006761292
its,every,0.20156524966488124
its,few,0.18948099680079605
one,these,0.19588909227039206
or,certain,0.20974339268098255
so,certain,0.22842015666342663
so,these,0.21157829058980576
so,yet,0.20524244360619215
some,certain,0.22447660882702036
that,towards,0.18986287495179274
this,these,0.1998477961711365
though,several,0.19383013418475775
to,certain,0.19885246875137674
when,besides,0.19214314617853498
when,these,0.20108576463222042
while,these,0.20301549332389013
who,certain,0.2157129393537755
who,little,0.2065518107788816
who,such,0.19114301090184413
without,little,0.19660672917842548
without,several,0.19181799280155448
