source,target,weight
a,due,0.17286696250132683
a,nobody,0.16254479466247548
a,none,0.16346916102670211
a,some,0.162985846673912
a,when,0.1702974275671638
bit,itself,0.16095918192463846
about,itself,0.16201307543685708
about,once,0.1831247537885586
above,once,0.16397058292698533
above,some,0.1651039403965309
across,save,0.1614266510483733
against,once,0.18646025173790653
ahead,once,0.1998931335690369
all,some,0.16275815557436785
an,once,0.16399213053296152
another,following,0.17458881200431325
another,once,0.2104400213441435
another,save,0.1728070940859916
any,amongst,0.16621670338665742
any,once,0.20290080093347707
any,save,0.17197251261026064
any,until,0.1753055144857054
anything,until,0.21183531282108656
around,once,0.1642420053538176
at,save,0.1603091939346025
at,until,0.18189046081295293
away,once,0.1730191672595955
because,once,0.21201681171585654
before,once,0.17336425958090906
below,once,0.17024431928038714
beneath,once,0.1732961486151829
between,once,0.17976988422553533
both,spite,0.16544635801409735
both,once,0.19273585735534055
by,once,0.1942831296401094
can,save,0.1739571592722729
can,throughout,0.16046567292470237
could,once,0.1630507858192324
could,until,0.16862042799745716
could,when,0.17001018394220516
during,once,0.16162620269870048
either,once,0.1692880812893795
enough,once,0.2103265288671968
every,once,0.21201171419532788
every,some,0.17227744755986704
few,once,0.19948125910293962
for,until,0.1712516121423135
if,once,0.1852887961483168
view,once,0.18657160868372946
it,once,0.1667195475748445
it,save,0.17634482981926555
its,once,0.1808037343082692
might,once,0.2017172760831099
might,save,0.16406734423842645
much,nor,0.16594854650809288
near,once,0.19700816328035733
nobody,once,0.16315638156156095
of,once,0.16397530920864326
off,once,0.17974019462649357
off,save,0.16318647445219928
one,once,0.1908141576476191
or,along,0.16411121331927198
or,following,0.1638022485214563
or,nor,0.16571726758776398
or,once,0.20522944668642057
other,although,0.1777353123781224
other,once,0.21428906327823571
other,save,0.16914849949864316
our,once,0.1986638049024158
out,once,0.1691285525109073
outside,once,0.2025439176470921
over,once,0.1652790170850082
over,save,0.1699878116300448
over,until,0.1642251598174871
part,once,0.1898478947515427
past,some,0.16760417326508475
shall,itself,0.16111339138932892
should,once,0.22031052856653793
should,save,0.16445209226003657
so,spite,0.16991593164091637
so,until,0.18031055881121272
such,once,0.1616601385156043
than,some,0.16054775580285022
that,throughout,0.16579142932339927
them,until,0.16002893014203085
therefore,due,0.1655314643948698
these,due,0.16242526909241817
these,some,0.17079932035343845
they,although,0.18025236479353585
they,once,0.197621124640884
under,once,0.19887449018773784
until,once,0.1747411606762096
up,save,0.1755912332512771
upon,once,0.1832488440768514
upon,until,0.17164098362838748
us,although,0.1820901035417248
us,save,0.16388837791678426
used,once,0.1654355198650871
various,until,0.18700653353238392
when,once,0.17156008358764938
where,some,0.16083055708550897
whether,once,0.1738424117081971
who,until,0.1760749410709083
whose,once,0.2093348471614469
will,once,0.19673186451276242
will,save,0.17425916481908518
will,throughout,0.1621238276670474
with,save,0.16968291928684784
with,until,0.17557414878112648
yet,once,0.17625758131495856
