source,target,weight
a,nobody,0.27323245219195624
a,outside,0.24044926733938943
about,certain,0.24376330088880563
after,nobody,0.24291618050789915
all,bit,0.24117747561470793
all,certain,0.25764991276037935
all,considering,0.24984728125199865
all,therefore,0.26692595300275507
an,nobody,0.24866673830071123
and,until,0.3594285576084429
any,considering,0.25440181369278125
any,due,0.25042350307048256
at,nobody,0.2700445019674131
before,nobody,0.27471187031108185
before,therefore,0.24289392166848614
can,due,0.25734288242267356
can,nobody,0.3034832071868605
certain,certain,0.24704245599789462
close,therefore,0.26088555734537566
from,nobody,0.24377749562865897
if,certain,0.24039179928214302
in,toward,0.2502698277465819
in,until,0.2798681739762192
into,nobody,0.2424297925121656
it,nobody,0.2477732724649494
it,toward,0.2743693593638186
it,until,0.35882068977760617
its,nobody,0.24308108138072712
may,due,0.24557872303884518
may,therefore,0.24269612324452006
more,nobody,0.27572752233612763
more,till,0.24341041455969628
no,nobody,0.2564693851446732
no,toward,0.2575831048293326
nothing,considering,0.2556780257197026
nothing,due,0.24382643322300493
on,toward,0.26715497550078715
on,until,0.2922701021324074
or,nobody,0.24578056040874152
or,outside,0.28158579076911033
or,toward,0.27728279668997896
or,until,0.4066248287789494
other,until,0.3185217688327819
our,therefore,0.2540455069740127
over,nobody,0.27118295856545643
some,therefore,0.24255499535073188
some,toward,0.2834522452996526
some,until,0.2896698860968625
such,nobody,0.2636573172116815
than,nobody,0.24518792372440373
than,toward,0.3151117028395424
that,nobody,0.25893292151615943
the,until,0.24281520089879313
them,until,0.32855744851056695
then,until,0.36082135775195495
therefore,until,0.37650220140004864
they,until,0.30959998628357877
though,outside,0.26731316693968404
till,certain,0.24164658697473934
till,nobody,0.2488850731987828
until,until,0.3703637166413878
upon,nobody,0.25421913746553204
whether,considering,0.2608441451326503
will,therefore,0.2654181214842616
will,until,0.3085028992773362
with,toward,0.3013422887883681
within,nobody,0.2463279678911169
without,certain,0.24365555612647657
