source,target,weight
a,along,0.26212293400098097
a,although,0.2968017896669173
a,amidst,0.28382683276272963
a,among,0.2499078780217742
a,amongst,0.2996568266670612
a,anything,0.22027419993730754
a,close,0.22438948287854066
a,consequently,0.2425075174881057
a,everything,0.3497171613529193
a,respecting,0.26458848637620663
a,several,0.2846599351951713
a,thence,0.23926499437473447
a,toward,0.3390741110296693
a,until,0.3058578583384419
a,upon,0.24537591102084924
a,whereas,0.22775846185918708
about,among,0.2829970384749065
about,around,0.23071277507199903
about,besides,0.24533308766985087
about,everything,0.3259063106530015
about,upon,0.22681246735472313
accordingly,upon,0.2560121401151331
after,along,0.23269231877825644
after,amidst,0.2742741369148602
after,among,0.2737805960772849
after,amongst,0.28280533280282694
after,besides,0.22837646638102346
after,nor,0.2827563923846283
after,until,0.3114524169103194
after,whereas,0.23027829681247788
after,yet,0.22760836106948457
against,amidst,0.2842963624770621
against,everything,0.335724842811392
all,toward,0.2945514885643309
along,among,0.28642972002103567
although,although,0.34415044308187703
amidst,along,0.24710138906880846
amidst,amidst,0.3403105509794166
amidst,amongst,0.34380300626157967
among,among,0.24162998219325432
an,amongst,0.2924560146152242
an,several,0.23593295363308261
any,amidst,0.23821526714450092
any,amongst,0.23073686294170245
any,respecting,0.2754134832095341
any,whereas,0.22561778140305022
anything,amongst,0.22736322480692858
as,along,0.22929378082309312
as,amidst,0.2956823400434458
as,among,0.25524370936057716
as,amongst,0.3163465153343515
as,around,0.22149363725356028
as,everything,0.24101730856006964
as,nor,0.23788801852310607
as,respecting,0.2434782666039738
as,several,0.23544089227358048
as,upon,0.25941994654816747
before,amidst,0.285872683795768
before,among,0.24963790023552745
before,around,0.2580030351312961
before,everything,0.3627400082495461
before,nor,0.22591726615945806
before,until,0.37726865741833104
before,upon,0.22793548211967732
behind,amongst,0.3465685693601112
behind,around,0.26608375071175827
behind,everything,0.3048409885391481
besides,among,0.2984283662845307
besides,besides,0.24623936138500657
between,along,0.26000923278817173
between,amongst,0.2964498496180472
between,during,0.2439767518914063
between,nor,0.22426596508062985
beyond,along,0.28530705888636293
beyond,amongst,0.3283510981367784
beyond,consequently,0.2817803690816068
beyond,upon,0.253122678609207
beyond,yet,0.2224282269308659
both,upon,0.2222977650268813
both,whereas,0.2569963406873756
by,amidst,0.30949652379815284
by,among,0.31779168900283056
by,amongst,0.3609462747273825
by,around,0.2516287241275549
by,everything,0.27356626084476654
by,nor,0.2491769138006714
by,several,0.24190783088604936
by,thence,0.2411277218506468
by,until,0.34561117733208563
can,along,0.2544071919435847
can,amidst,0.312130893387123
can,amongst,0.28149767345608084
can,thence,0.23302313162712
can,until,0.3510029649719366
close,along,0.2208295890746451
close,around,0.2371425550194802
consequently,nor,0.23237454746901556
could,amidst,0.2909260680126427
could,amongst,0.31530678472617707
could,besides,0.24363827995782716
could,close,0.2420404896379495
could,consequently,0.24833636001377754
could,everything,0.3165887629683601
could,nor,0.2464994130389006
could,thence,0.2501902510386853
could,until,0.2926779347192436
could,yet,0.2244936401823264
despite,nor,0.226653992776206
down,among,0.27673579112445496
down,amongst,0.27268166195384247
down,around,0.2676205131978189
down,everything,0.26830076797954644
down,nor,0.22173253481492194
down,upon,0.2607257814398752
each,along,0.2300086853959948
each,amongst,0.26654743826392985
each,nor,0.22416878899254472
each,upon,0.27909094020278635
