source,target,weight
bit,till,0.25876967043307475
aboard,certain,0.21440621269765311
about,certain,0.21647652161115977
above,save,0.20498323268658775
above,until,0.19863757266505244
across,round,0.20323397456518774
amid,behind,0.19681390142169752
among,certain,0.23022723141872223
an,certain,0.19133677830011453
anything,behind,0.20193355337539717
anything,without,0.19693988083123767
as,till,0.19291685562398772
aside,without,0.20426112558166853
at,certain,0.21291905155624508
away,certain,0.20706547576017037
away,save,0.19734294022098978
before,round,0.19146707799137816
before,till,0.23039942697935153
behind,behind,0.19665002411135613
below,till,0.2275898139464248
beside,beside,0.1939725932406926
beside,upon,0.19060565480118527
by,round,0.1990745932849327
certain,behind,0.19425578393594203
could,without,0.19931420480485873
down,anyone,0.2019301194697206
during,behind,0.20818065039498873
either,behind,0.20673886163099287
enough,till,0.21376788341650374
enough,until,0.19410075510186275
every,view,0.19298627048918024
every,till,0.2500930584502849
few,without,0.1938222865880804
given,certain,0.19526220866093633
given,until,0.1934128100488634
if,round,0.19579547920608742
in,certain,0.2044543619736094
in,toward,0.19371305761111654
less,save,0.1988939211209906
like,until,0.20298530039311188
little,behind,0.22773483515664647
little,beside,0.20587362290123154
little,till,0.24597128170180188
may,behind,0.2071410766670244
may,certain,0.21546579073405794
may,view,0.2118987655243123
may,save,0.2017396267286953
most,certain,0.19063950986984934
must,certain,0.2085993635793832
must,till,0.22003291789530924
neither,round,0.2117720988099817
next,till,0.24808235289866618
nor,until,0.19421918897434226
nothing,anyone,0.21223514072894392
nothing,certain,0.21190253688742033
nothing,till,0.21032523050019744
off,behind,0.19841942632875811
on,round,0.1974513742420319
on,till,0.22215641454406032
on,until,0.20597137572833635
or,certain,0.2027474607790403
or,till,0.23303614276082701
other,certain,0.2028335579098551
our,behind,0.19181239300340266
our,certain,0.20239404859984209
out,around,0.1952829200671229
out,till,0.2145197078928124
over,anyone,0.20753372904440676
over,beside,0.2219494806584064
over,round,0.21169774873831051
shall,behind,0.20172856782496973
shall,round,0.19880613406553488
shall,upon,0.19582369159888321
so,upon,0.19418709584646168
the,till,0.19540122261008025
them,around,0.19900568856120995
them,till,0.20185798795399157
then,beside,0.19256206146109947
they,behind,0.21448242115769214
they,till,0.24477655869808682
this,anyone,0.20403459819700415
this,round,0.20410697778043177
those,upon,0.20110526309723062
through,behind,0.1987848079507389
through,without,0.19653548168226834
up,anyone,0.19321090268665034
us,certain,0.21350865789964715
us,till,0.21709194477637608
what,without,0.19946092114932132
when,anyone,0.19107651492065905
where,certain,0.19974180098067562
where,save,0.1936315491133148
where,until,0.20358928844120527
where,without,0.19911556472974382
whether,certain,0.19835497787309586
which,anyone,0.19921790907367254
which,until,0.204028369667237
which,without,0.19384169335273216
while,upon,0.19115106973361276
who,save,0.19890273517756002
will,certain,0.19878501924476286
will,save,0.21898608561053517
will,till,0.2241650178385931
without,anyone,0.19719447241392546
would,till,0.26899763509659314
would,toward,0.23122977934978506
yet,behind,0.2289770310715679
