source,target,weight
bit,like,0.18306515216991004
bit,whom,0.18029074301639691
about,ahead,0.22853421448032424
about,among,0.15636041956771665
about,beneath,0.18141418914904403
about,besides,0.20657529366752608
about,certain,0.24582099533209817
about,during,0.17741344498912046
about,however,0.23256869479270645
about,inside,0.1563068519822123
about,itself,0.1719816500843727
about,many,0.1545221311472075
about,may,0.16058206868388494
about,might,0.17928709887448618
about,next,0.15417766596822596
about,nobody,0.231968469468582
about,none,0.2517542829346341
about,nor,0.16966061988609876
about,round,0.25897648657587846
about,such,0.15969852237319962
about,though,0.1841411391469617
about,until,0.2320936019611485
about,whom,0.17143674040731766
about,within,0.1855258173472575
above,above,0.1625404535947333
above,below,0.15219156880631837
above,beneath,0.16514152274510513
above,however,0.2620163547593839
above,like,0.1690850450367684
above,nor,0.15893320799760474
above,themselves,0.22131394905646648
above,whilst,0.19701525556345711
absent,other,0.15884702498701095
absent,such,0.16040253992862918
absent,whom,0.1512774112885896
according,according,0.23822528729441345
across,around,0.160534678051825
across,below,0.16682818755219625
across,itself,0.19664100824837313
across,round,0.19887430343295415
after,bit,0.18257103118824958
after,although,0.1707276663687066
after,around,0.1738931572068346
after,beside,0.1623839665759546
after,during,0.16470383558556723
after,each,0.16150933627750172
after,itself,0.15255307892322265
after,like,0.16747163514312072
after,nobody,0.20288372072356145
after,round,0.2521595941620734
after,then,0.150606187595547
after,though,0.20834603487628922
against,either,0.18750738050664667
against,into,0.15782867149015772
against,itself,0.16356060572319356
against,like,0.17795186698632184
against,many,0.1974622478431132
against,need,0.16001933982938624
against,such,0.1837607115996219
against,though,0.20217569200776728
against,various,0.22878051350688558
ahead,through,0.15189150330811277
all,bit,0.18501569520975097
all,among,0.1596019572824977
all,aside,0.16315558837497904
all,beneath,0.17123204588151142
all,certain,0.16199669742504788
all,however,0.2179006974319069
all,inside,0.1798544327119586
all,itself,0.2589727706730016
all,many,0.1883447637463969
all,might,0.1794938537221227
all,next,0.15785488063667452
all,none,0.24773063101052092
all,nor,0.21494686874509447
all,outside,0.1797949506776806
all,round,0.24931946352811046
all,such,0.18336882319070358
all,themselves,0.22168342127435972
all,these,0.1678439264569495
all,though,0.24151483846124483
all,various,0.2377340352268047
all,whilst,0.18971178462128754
all,within,0.17255157321525033
along,can,0.15621779520110118
along,itself,0.24149451685412676
along,like,0.1615064770395105
along,might,0.24608708641021793
along,round,0.18118735388358306
along,thence,0.24338686342181773
along,these,0.1503547847258028
along,though,0.22998262507686199
along,whilst,0.15221128570416034
amid,aside,0.17790630394909265
amid,either,0.2410959919336246
amid,like,0.21210279985192998
amid,then,0.1741124529775413
amid,these,0.17873573737514528
amid,toward,0.15188315512272285
amid,would,0.15351370522736474
among,concerning,0.20282943984706306
among,dare,0.19521423784030356
among,either,0.22713092356053766
among,none,0.21658522478669542
among,though,0.15908180709791328
among,whether,0.17737453382118876
among,would,0.1548808234280958
an,according,0.2264622986776144
an,although,0.2042501662893639
an,below,0.20527589476564229
an,besides,0.16824284289167918
an,certain,0.16597435019559392
an,during,0.19548446017098223
an,however,0.21193557017180567
an,into,0.1629954975355944
an,itself,0.2314897834671757
an,many,0.17527929982327078
an,might,0.25817960380124383
an,nevertheless,0.3058438163041107
an,next,0.16060462644345602
an,none,0.18558335678979906
an,nor,0.20208465004054454
an,other,0.15854341110070594
an,round,0.18696540665266023
an,such,0.17197245400954905
an,themselves,0.18368836840358777
an,these,0.1601922267331266
an,though,0.25368749443451555
an,until,0.15076349278571663
an,whether,0.1623543880721289
an,whom,0.1532185092395416
an,within,0.19513555573424268
another,ahead,0.2060535994735385
another,beneath,0.1513616529993884
another,beside,0.17398110987366205
another,during,0.18505104218096088
another,however,0.23903867722979838
another,into,0.15495630087065548
another,may,0.15288974184582424
another,might,0.18230005984282893
another,need,0.158121652981083
another,should,0.1571831179061115
another,since,0.17276524056059994
another,such,0.17186599568898434
another,these,0.17918532759600653
another,though,0.17939480999533072
another,various,0.2232284143107239
another,whilst,0.233262555957979
another,whom,0.1567076904249666
another,within,0.17090084292294466
anything,certain,0.16138677283008637
anything,might,0.17913540657440408
anything,nobody,0.18210429524091126
anything,nor,0.17343873695959838
anything,other,0.17489697238446825
anything,such,0.1530390696061254
anything,though,0.21156195578233214
anything,until,0.17819361169228215
around,around,0.1716573475534779
around,itself,0.15525084801937472
around,like,0.17446926810337834
around,themselves,0.18099511641478316
around,though,0.14975094884377937
around,would,0.15201092696798577
as,above,0.1769523545175842
as,according,0.2003607716781021
as,against,0.16458306971647754
as,below,0.1628216848711062
as,beneath,0.1666856890762322
as,beside,0.1595694108755736
as,certain,0.1872741110893909
as,during,0.21432762895879262
as,either,0.19208352594372238
as,however,0.19085253014823433
as,if,0.16157007731969425
as,inside,0.15734897598714617
as,itself,0.1913447823811989
as,many,0.18572367181438557
as,may,0.16106554242189744
as,might,0.20387529416507255
as,near,0.17783703287498967
as,nevertheless,0.25966242428363184
as,next,0.1878085451708399
as,none,0.25489997535609493
as,nor,0.21320431403481516
as,other,0.1565354047625995
as,round,0.1783517822600327
as,should,0.16210626364440894
as,since,0.16701550462132939
as,such,0.2087158166299034
as,themselves,0.21668149059392133
as,though,0.19063049656892014
as,through,0.16045781063663989
as,until,0.15971063305357486
as,various,0.2336775650641375
as,wanting,0.21531444873646585
as,whether,0.1720349271091793
aside,like,0.1919223684244278
aside,then,0.1566555956212287
astride,either,0.22852099106652765
astride,like,0.1613894351314706
at,certain,0.2461938328787883
at,considering,0.22186666041355374
at,either,0.15900919580475148
at,however,0.16109740872561615
at,itself,0.22512411508084576
at,nevertheless,0.26082393435218587
at,next,0.15042676830328894
at,nobody,0.1798357231369882
at,nor,0.16482650620389386
at,round,0.2554815809747718
at,though,0.161889022733886
at,used,0.15986077577693417
at,within,0.1933402319707761
away,although,0.1567837830658352
away,beside,0.19789673156860413
away,besides,0.20154954736818584
away,certain,0.17721647442023128
away,however,0.23040300523355514
away,inside,0.15529116072053945
away,like,0.18288939168173554
away,many,0.15886785364731434
away,might,0.19640976172063282
away,round,0.25509685620722644
away,should,0.1801370183302195
away,since,0.15689401557587193
away,then,0.15909476376871795
away,though,0.18684269817150756
away,until,0.19836556233141986
bar,below,0.16321251293322186
bar,like,0.18686149365266874
because,ahead,0.16652976921398627
because,certain,0.2028013857008459
before,above,0.17021876179911244
before,beneath,0.19788755333486366
before,certain,0.2233247682816575
before,during,0.16668362302426887
before,many,0.19060102639769186
before,might,0.16704412776291078
before,round,0.19142405954161087
before,should,0.1657972926680205
before,such,0.17545894209111454
before,themselves,0.23411709581041706
before,these,0.16241040063648898
before,though,0.2273400027409802
behind,many,0.1671168498985311
behind,might,0.15427770937995028
below,into,0.16157699107759438
beneath,above,0.15848551930299604
beneath,many,0.1945848722294333
beneath,then,0.15361390266802685
beside,around,0.16438905948378318
beside,beneath,0.19656150774208686
beside,beside,0.1794709086552506
beside,each,0.16864529145049043
beside,like,0.16914229647791393
beside,many,0.16202938074035717
beside,may,0.15936162172401852
beside,might,0.18108966458898182
beside,outside,0.17624846277475356
beside,should,0.18768351174821812
beside,themselves,0.21638045766098926
beside,then,0.1563598090311568
beside,though,0.150529095663596
between,around,0.17332880707061066
between,certain,0.20552483651028064
between,during,0.17896283622877246
between,however,0.16321841994163766
between,nor,0.19035410132797287
between,outside,0.1620842116167354
between,such,0.16420964129471816
between,then,0.1513009750745163
between,these,0.16229430890679514
between,whilst,0.15104815506364339
between,would,0.1665148048172821
beyond,below,0.20282925689537046
beyond,certain,0.18089972944185814
beyond,however,0.18455577837883513
beyond,might,0.2319784562179344
beyond,should,0.19625412216414387
beyond,such,0.17924982538785478
beyond,though,0.23962196195919372
beyond,until,0.18895582721942827
both,however,0.2675004176668118
both,many,0.20235746974225383
both,might,0.21069333608214022
both,outside,0.15696608493688813
both,round,0.19323418598070075
both,something,0.15094625880282106
both,though,0.16841291754402393
but,around,0.14924165701120176
but,below,0.18457158559258613
but,beneath,0.20413538572797973
but,besides,0.1602651254293224
but,can,0.1507122813584279
but,certain,0.2075192749655132
but,during,0.17182324995804857
but,however,0.254900177495103
but,inside,0.1541923063126524
but,instead,0.19422121791455454
but,into,0.17137829045377972
but,itself,0.22378587233784852
but,like,0.18760041484715376
but,might,0.16536553924042188
but,nevertheless,0.30044811345290173
but,nobody,0.20029171580917507
but,none,0.25219088803156214
but,nor,0.19468664587037876
but,round,0.22441036227652772
but,themselves,0.22444490493773395
but,then,0.15335680603359333
but,therefore,0.15400879164611866
but,though,0.22032139023369135
but,until,0.18726627341942162
can,although,0.17478670030856536
can,certain,0.20813683602683108
can,during,0.16038612532036606
can,each,0.16320188634494534
can,either,0.2273218694978327
can,many,0.21626357905154492
can,might,0.21665135943161765
can,next,0.16139448617384058
can,nobody,0.23798015992461874
can,none,0.2832065555446261
can,nor,0.2097453544420387
can,outside,0.16254933768459262
can,shall,0.18456861879656805
can,should,0.19482822100735253
can,such,0.1570591840729599
can,therefore,0.15076173350840202
can,until,0.19070033111524143
can,whom,0.2093554729186098
certain,certain,0.15502441198617314
certain,if,0.15382553416027772
certain,inside,0.1869614339192565
certain,should,0.173304413769698
certain,something,0.16086811247418886
certain,such,0.20340157328839123
certain,though,0.17116130827650797
certain,whilst,0.20743880309415574
certain,would,0.18972062824407898
close,against,0.1509207474978678
close,although,0.1509380003080145
close,between,0.15140685301122297
close,itself,0.17908718918052668
close,like,0.19315697267705473
close,these,0.16063402020649162
close,till,0.1527030494335286
concerning,certain,0.15375818060277088
concerning,various,0.22496261882796648
considering,considering,0.2549474220658213
could,ahead,0.1973736927505013
could,although,0.18997167040983287
could,beneath,0.21936540555435347
could,certain,0.2057474190667214
could,during,0.17124190841233977
could,each,0.15979668118078252
could,either,0.20989719659529268
could,however,0.1911966026329856
could,into,0.1582224847071257
could,like,0.19271854048768308
could,many,0.15819734943539976
could,might,0.24803520130100176
could,nobody,0.24310128673599404
could,nor,0.21137682318458362
could,round,0.2491418380071946
could,themselves,0.2106772701918283
could,therefore,0.16891450254443827
could,these,0.16992353439588573
could,though,0.17799254482617666
could,toward,0.15492893573335917
could,whom,0.16160650053909525
dare,such,0.17604721804636445
dare,would,0.16420747812307174
down,bit,0.15126427510700055
down,below,0.18730695213801735
down,beside,0.16290208024477784
down,certain,0.18783928532875166
down,considering,0.2075232672918132
down,however,0.2666151319489425
down,itself,0.15523686368724918
down,might,0.18817360445335832
down,need,0.1738886038279839
down,next,0.15514705792930533
down,nobody,0.18592587022889642
down,none,0.187983165485091
down,round,0.17531973230987735
down,should,0.1689658465069303
down,something,0.1605677912536231
down,such,0.19728637194105497
down,therefore,0.17234271545423074
down,these,0.17151390041134715
down,toward,0.1498286158508455
due,many,0.15276746379573694
during,either,0.1856973966995256
during,however,0.2467685057902585
during,many,0.21021374621968425
during,other,0.16242048265516937
during,should,0.18483264345137834
during,such,0.17127791790572564
during,therefore,0.17877068412396763
each,although,0.17539838037843433
each,aside,0.16453550882954804
each,away,0.15023810008557
each,beneath,0.18880089310267986
each,can,0.16128638959386038
each,certain,0.183343995110283
each,however,0.21091516588222411
each,like,0.2094860387663448
each,might,0.251951401986265
each,nevertheless,0.26419855910258505
each,none,0.21768142595118128
each,should,0.17718604510637925
each,themselves,0.19409927720774373
each,though,0.18158001108462393
each,until,0.1794589451256288
each,within,0.17247731381126483
either,during,0.17756288656044733
either,either,0.212717864266244
either,like,0.19984539253554584
either,nor,0.16780336269909327
enough,above,0.18498972624876908
enough,during,0.1784222138975279
enough,either,0.18655660998338205
enough,however,0.17481869221293492
enough,like,0.20614797182734185
enough,other,0.17323441376421397
enough,round,0.23066822602102108
enough,should,0.19105388685853292
enough,since,0.19414212375950562
enough,something,0.16820388708985345
enough,such,0.18091628983393748
enough,until,0.2160012752107003
every,although,0.1969478241333433
every,during,0.18673337430491954
every,each,0.1653310100223154
every,however,0.20713950260846142
every,might,0.195743317458442
every,should,0.17854978672677496
every,these,0.14956822296996186
every,this,0.1546659095695253
every,though,0.17664508880133353
every,until,0.1895021011994872
every,whilst,0.19821870243270903
every,whom,0.19277808396308696
everybody,everybody,0.20242095749477382
everybody,next,0.19736009642717114
everything,like,0.2179913266371975
everything,nevertheless,0.21857783239329695
everything,outside,0.1748942200048481
everything,should,0.15599664492501064
everything,then,0.15308409449933066
everything,would,0.1672461401482404
except,much,0.15672907551641585
except,nobody,0.25082255153131666
few,among,0.15217377647476013
few,aside,0.15730202040628302
few,during,0.16862474075631137
few,many,0.18508766833429216
few,other,0.15178134023465772
few,should,0.1593908832341749
few,though,0.2537985712115386
few,various,0.24425979609702173
few,within,0.19109564884278507
following,certain,0.20747159485116742
following,during,0.1607590375536935
following,however,0.2441685454767035
following,into,0.15072308475828441
following,might,0.21507430212017106
following,round,0.19957086645567834
following,though,0.1902390608217189
from,bit,0.18076513523743784
from,below,0.18307336987029157
from,beneath,0.16438383327364384
from,beside,0.16630093368189688
from,besides,0.16671919717592648
from,certain,0.1830300626165121
from,during,0.18860121369291813
from,either,0.19424735289271458
from,however,0.25590619625692296
from,inside,0.1648943142790545
from,itself,0.1944784807775191
from,like,0.14930878881321596
from,might,0.22213606188386414
from,next,0.17629005971764566
from,none,0.2820141823609351
from,nor,0.219436536019923
from,onto,0.1595740797774971
from,round,0.2012636247135144
from,themselves,0.16406346574248723
from,therefore,0.16170771869108222
from,though,0.21253431575853513
from,until,0.1949620386775098
from,various,0.1782956554002698
from,whom,0.1990678150980134
from,within,0.18540761906071052
given,bit,0.1605071518401614
given,although,0.18271379785925893
given,during,0.1494603593058467
given,round,0.2726226677281272
given,should,0.15438016300284868
given,then,0.17110511926340166
given,therefore,0.17245952329858422
given,though,0.20394955164098125
