source,target,weight
a,view,0.3276926915078449
about,need,0.22279151589676013
according,therefore,0.2396793280732824
accordingly,following,0.221632260125836
after,view,0.26759626232419365
after,therefore,0.21983191794169035
along,view,0.2540619908454725
although,following,0.232753381736307
among,among,0.2243875618943059
among,view,0.30140252518050176
among,therefore,0.2516005031805678
an,view,0.26571716192752465
an,need,0.24071738696881714
an,throughout,0.2213779860356865
and,although,0.23253876955378083
and,view,0.22167230432133406
another,view,0.3146107881525027
another,toward,0.23176657398717668
at,view,0.2595268285635573
bar,near,0.2206610537715464
before,following,0.2286466998539253
before,therefore,0.24733373675600692
below,therefore,0.2319207730073877
besides,among,0.22786899868669624
between,however,0.22967994277845907
but,view,0.2693940252463623
but,therefore,0.24987338378350613
but,till,0.21973309566816385
by,view,0.30837696250779095
by,need,0.23382588381270092
could,bit,0.22482846134069803
could,need,0.2483562891049523
each,therefore,0.23446523289325538
every,near,0.22953712213929633
everything,everything,0.23014331313530748
everything,therefore,0.24457964849269956
following,near,0.22513587363616872
for,following,0.22366502595334412
for,view,0.2665136920945517
for,near,0.2343061542879641
for,need,0.3027994733371575
for,therefore,0.25131362405774055
for,unto,0.2266470519542718
from,among,0.24512289119093864
from,everything,0.2502145357394948
from,view,0.3429744604021739
from,near,0.2386477765521287
from,therefore,0.2883624134062563
from,throughout,0.22891313178407413
from,toward,0.2247719155706185
from,unto,0.24361504664852887
hence,view,0.32196422185070694
however,bit,0.23428951494182243
however,therefore,0.23747995287349702
view,view,0.3385657107309369
view,near,0.2396728315208787
into,among,0.2300393005080751
into,everything,0.24524803016069174
into,toward,0.23540264261432212
it,view,0.2534259188524874
it,throughout,0.2221128392732487
like,everything,0.24395697058485455
like,however,0.21855697593656156
like,view,0.28865571989571925
like,therefore,0.2814337065310243
little,view,0.2957077420480393
little,therefore,0.25350930846264524
little,throughout,0.22469173067413692
many,therefore,0.2650150529214775
may,view,0.27274751394452545
may,need,0.2731088596929656
may,therefore,0.22614083650189706
might,near,0.2483237764502687
might,need,0.2976805933446864
more,view,0.2946038911507858
more,need,0.25655343661666397
must,need,0.24507726854832446
near,view,0.26511697890859826
no,need,0.26996085488356963
no,therefore,0.226140806268784
no,throughout,0.2207519150159236
nor,therefore,0.2421007321925407
nor,throughout,0.22871152618629992
of,both,0.23047189426330686
of,view,0.27282621964408393
of,need,0.2498570333185956
of,therefore,0.23172161769905503
of,toward,0.25871188965621406
one,therefore,0.22501570747277494
or,need,0.2578929620094936
other,among,0.21894317337048436
other,following,0.22334294258452986
other,near,0.23710276749300263
our,need,0.27335053793358605
our,toward,0.2409078361798041
out,view,0.22660642252310645
over,view,0.31908951111151573
over,therefore,0.23768573395831655
part,following,0.22625498949934397
round,however,0.22517821116626538
shall,need,0.24583143775997168
since,however,0.22994569470553863
since,therefore,0.23238334888135032
since,throughout,0.2251610425364474
so,view,0.2567004848773261
some,near,0.22266021382235202
such,view,0.33641585204816665
that,view,0.31296575274711697
that,need,0.2397420159402214
that,toward,0.22809408542203244
the,view,0.25087241250731873
the,need,0.23238775650268564
the,therefore,0.22196032082031092
them,therefore,0.23800169254038284
themselves,therefore,0.22557201695073897
then,throughout,0.24172192735730655
therefore,everything,0.23146632899333638
therefore,view,0.24949105848088868
they,everything,0.22517723086742442
they,view,0.26280709282535053
this,following,0.2288638776393952
this,view,0.31348813633686196
this,need,0.23834469650126722
this,opposite,0.2371022765533782
this,therefore,0.2798361500321746
though,therefore,0.2701091530182836
through,view,0.2653252502782867
to,view,0.23703229343144328
to,need,0.23453237154056056
toward,toward,0.2645429738851851
under,need,0.25316362676345766
until,everything,0.22681397241644427
until,therefore,0.22364308239069136
up,bit,0.24701323181874468
up,among,0.22495247256051826
up,therefore,0.2535501956624598
wanting,throughout,0.23161120610588148
when,view,0.2462192791039405
when,toward,0.2185095078389406
where,view,0.29641871757023514
where,toward,0.2307269012738174
which,view,0.3185432059789537
which,near,0.22014785776113946
which,need,0.2741261443097877
while,near,0.22174348574425284
who,need,0.2224029097688107
who,toward,0.24414507159500984
will,view,0.2694727371725848
will,therefore,0.22276111036882493
will,toward,0.2550945272612616
would,view,0.286932870787204
would,need,0.28874860047634004
would,therefore,0.2762328086229908
yet,everything,0.22775983922415338
