source,target,weight
a,its,0.07340602228068441
a,over,0.06100690366052474
a,the,0.06583709239980536
a,to,0.06260072303642317
bit,bit,0.12354273546517643
bit,according,0.11139475385406748
bit,after,0.08837235627277207
bit,against,0.16584016131912294
bit,all,0.1002297949021334
bit,along,0.1588032947156514
bit,among,0.10957775354740144
bit,at,0.0712612090053207
bit,but,0.08183398778522061
bit,could,0.11356430551326636
bit,every,0.10689464962972015
bit,from,0.09678880945814727
bit,in,0.061298335387527644
bit,into,0.08814285564024193
bit,little,0.08680342577235095
bit,might,0.1236266321915856
bit,most,0.08223187496968774
bit,must,0.1040886695771339
bit,nothing,0.0780404289588294
bit,off,0.08318904012578401
bit,one,0.0818886538238548
bit,other,0.1352212804873291
bit,round,0.1623084711647992
bit,shall,0.0652839142266744
bit,some,0.07185062960696847
bit,something,0.09219627856251952
bit,than,0.12210338191937975
bit,themselves,0.1523776119252152
bit,these,0.09016001623645875
bit,this,0.09209107795169909
bit,those,0.14021832184520258
bit,though,0.21294149584489738
bit,upon,0.1172019799513301
bit,used,0.1580212669536549
bit,what,0.07764066411182115
bit,whether,0.17511022801627452
bit,which,0.0732827411212664
bit,who,0.07061357589448192
bit,will,0.09825035640588443
couple,across,0.1249808306646079
couple,after,0.14004708145530478
couple,all,0.07527445556754328
couple,along,0.11594102860095878
couple,an,0.06131826679353487
couple,another,0.08938814529112045
couple,below,0.13456388749490583
couple,beside,0.17393561801796997
couple,but,0.09475277057598143
couple,down,0.06468855325085582
couple,into,0.08202208224083839
couple,it,0.07315116117233159
couple,little,0.06355885470883235
couple,might,0.09484364198064724
couple,on,0.09243616277171698
couple,one,0.1068496844351178
couple,other,0.0783875843674981
couple,our,0.07078318083456527
couple,such,0.06226452616796242
couple,the,0.06451792452990482
couple,themselves,0.09911589249039518
couple,then,0.07230535115456448
couple,they,0.08520694032073828
couple,this,0.09539460325039921
couple,upon,0.0649600780029466
couple,while,0.0756853471862805
aboard,a,0.07226888760124367
aboard,after,0.07110466026562576
aboard,enough,0.07455329265625245
aboard,in,0.07843450230980821
aboard,including,0.07355360923681405
aboard,into,0.07042993460715792
aboard,more,0.0756969671504316
aboard,no,0.08013547430694946
aboard,round,0.06630335040232352
aboard,what,0.063678397573224
about,after,0.06874618931253743
about,aside,0.07616381593755324
about,behind,0.060442263687824245
about,could,0.06175952434411164
about,over,0.067522531435728
about,round,0.07588852369274114
about,should,0.06269650279560816
about,since,0.0643616228850103
about,the,0.06080278811146067
about,themselves,0.06493891953480681
about,though,0.07144292333083395
about,towards,0.10711534235912282
about,under,0.06256940697933121
about,whilst,0.06116375674326533
above,above,0.07758087573435041
above,after,0.12120448960939853
above,against,0.1754803737653561
above,all,0.0978291705577256
above,along,0.13190726153186189
above,an,0.07813379626604447
above,and,0.08032034879248989
above,another,0.060498469287586926
above,around,0.10695849071802234
above,aside,0.07446282865832132
above,below,0.11822676289044451
above,beneath,0.13988984999403806
above,but,0.06876603698189597
above,can,0.0975532400919481
above,despite,0.15931921173034108
above,everything,0.16618389556059096
above,from,0.09872644726032691
above,if,0.08478922423967593
above,into,0.07189238175873053
above,its,0.13738830466043692
above,less,0.08642473482580486
above,little,0.09351299593651985
above,much,0.10941821296601846
above,near,0.06088983456520318
above,neither,0.17613587109559584
above,no,0.07317425367385218
above,on,0.10582821081410035
above,one,0.11038295381718399
above,opposite,0.10609568434333502
above,or,0.07245826105729088
above,over,0.09564652495734825
above,part,0.11578992213969645
above,round,0.16795312462717543
above,several,0.127258693400114
above,since,0.07421677495919726
above,so,0.08053541163576385
above,some,0.13497611168807705
above,something,0.08892848891962471
above,such,0.05991441992877161
above,than,0.1068778467490712
above,these,0.06920497935715564
above,they,0.07867549058726177
above,this,0.08273922272568773
above,though,0.15211814304413862
above,through,0.07820667433065363
above,until,0.08692426998348134
above,up,0.06607714919091218
above,upon,0.12440342547465087
above,various,0.12602909693178882
above,what,0.0804087181400033
above,whether,0.23091796087909414
above,who,0.08281349695819447
above,whose,0.06353774237580223
above,will,0.12459135923393738
absent,after,0.10234467980835425
absent,against,0.15702548631914168
absent,among,0.09568444701084595
absent,at,0.07645059155179244
absent,by,0.14691530330333194
absent,during,0.11848714206728286
absent,few,0.07036380237449937
absent,from,0.08921604101167421
absent,if,0.10497933563482863
absent,it,0.08963380341640026
absent,no,0.08440360426739396
absent,on,0.08016867058700651
absent,other,0.119213235083897
absent,part,0.1173088839060613
absent,so,0.0667039583095313
absent,some,0.08088834038595201
absent,this,0.06416330072824025
absent,yet,0.13135166744711926
according,bit,0.09560127039949694
according,according,0.13634025437988037
according,across,0.11900597219525047
according,after,0.08299442649075973
according,all,0.06199675341426491
according,another,0.09013326469450926
according,any,0.06890863981622937
according,but,0.06460374382871764
according,by,0.08918852229732283
according,concerning,0.33355287556746016
according,could,0.1427053256763153
according,during,0.07695655444694384
according,either,0.0759472790648003
according,every,0.10998735302602304
according,following,0.07311938024115533
according,from,0.08489899298793219
according,hence,0.18974703531704476
according,if,0.11503061465387612
according,view,0.15775418761366053
according,into,0.06656967328727553
according,its,0.0676302544145302
according,less,0.08230525847216133
according,like,0.06946540333829122
according,might,0.06182922455886987
according,next,0.06897220846552074
according,no,0.06746445789960479
according,none,0.08011249741715534
according,nor,0.11691797830256932
according,off,0.1099006855559017
according,on,0.08263880610434937
according,or,0.0736177474738452
according,other,0.06867567868114607
according,our,0.09274798317613218
according,part,0.13502501623433205
according,round,0.19074932636630157
according,several,0.092494709108453
according,so,0.06695086693266387
according,some,0.1383587001894413
according,such,0.0910645558734685
according,than,0.10748260827913926
according,themselves,0.07736640328184465
according,then,0.08860818403064186
according,these,0.074401831423839
according,those,0.08921836481516195
according,though,0.10957557478637717
according,to,0.06647942131227783
according,under,0.06966307081056704
according,up,0.09577694482150297
according,upon,0.13719680210582094
according,used,0.12965267264634484
according,various,0.1259539053862005
according,whether,0.21660041491956838
according,who,0.06817451648991447
according,will,0.06664734728212283
according,yet,0.07465548422321096
accordingly,accordingly,0.09158189711021641
accordingly,after,0.08212244688378144
accordingly,all,0.07390148595744421
accordingly,and,0.08275274650005206
accordingly,any,0.06392854576154608
accordingly,at,0.07063546925190543
accordingly,bar,0.09615713975753526
accordingly,below,0.09709505249798103
accordingly,besides,0.19786197019084467
accordingly,by,0.13128955287132646
accordingly,concerning,0.3659410674650474
accordingly,during,0.13233088631457773
accordingly,each,0.09392702663041942
accordingly,few,0.09896174945398273
accordingly,it,0.07988974418615934
accordingly,like,0.13472930618556697
accordingly,many,0.09532964512164889
accordingly,may,0.06415945406260584
accordingly,might,0.09685271966730509
accordingly,most,0.10782682874783828
accordingly,much,0.10839673129683682
accordingly,next,0.10129613935354359
accordingly,off,0.07662746067776005
accordingly,one,0.07223462333536423
accordingly,or,0.07554621341651738
accordingly,other,0.06497575317128809
accordingly,part,0.09632390117821507
accordingly,round,0.18132507007975687
accordingly,several,0.16905169574269724
accordingly,so,0.08642278511857207
accordingly,something,0.0919585978303499
accordingly,such,0.08301347981553835
accordingly,themselves,0.13220671474556367
accordingly,then,0.13185376327435241
accordingly,this,0.0772457464795464
accordingly,though,0.14336276954225033
accordingly,till,0.10590617249321153
accordingly,to,0.07758890859131606
accordingly,under,0.06632940284130605
accordingly,upon,0.06861926703440478
accordingly,what,0.08935535655764579
accordingly,which,0.11846563385663551
accordingly,who,0.0601622817321403
accordingly,with,0.07069760224060706
across,about,0.060328330094626285
across,according,0.07453197496210406
across,across,0.1633748904288192
across,after,0.07209026911579215
across,against,0.12161637433660158
across,all,0.07158529810127737
across,along,0.15450232616578055
across,among,0.11077475030027868
across,another,0.06413757196727828
across,bar,0.08629687448139423
across,behind,0.11603227516494495
across,below,0.13609517100418408
across,but,0.093636957465673
across,during,0.13321596427897145
across,enough,0.11781379544694653
across,few,0.06182652626040264
across,following,0.11477045500254747
across,view,0.1455630665063089
across,instead,0.09006531089891923
across,into,0.10292757010775797
across,its,0.06730245697078165
across,like,0.11658932827100839
across,little,0.08023718914603738
across,many,0.06335000574435401
across,nothing,0.10956194931464136
across,off,0.11828244983416718
across,on,0.10049468055705466
across,opposite,0.1347807459910582
across,other,0.07950987482776088
across,part,0.12319151257182259
across,several,0.09239170948718493
across,so,0.06654794382093727
across,some,0.1471682875428611
across,than,0.07747629747544074
across,then,0.10256134714579546
across,these,0.08646423983463297
across,those,0.12976676442169235
across,through,0.1051495570488591
across,toward,0.10241863055490405
across,under,0.08207857134740233
across,up,0.08529617594642284
across,upon,0.07400111156022472
across,what,0.0879323742419035
across,when,0.07147918913518923
across,wherever,0.1607620890018191
across,whether,0.17659946823469774
across,which,0.06226790851653494
across,while,0.06444542745071939
across,whoever,0.07551405864649532
across,will,0.09601798280606359
after,bit,0.16204701326354173
after,aboard,0.1961255625332995
after,according,0.07725557557362066
after,accordingly,0.10705484921665492
after,across,0.09759116824866355
after,after,0.11290779334272819
after,against,0.07956448632953754
after,all,0.10365266569493797
after,along,0.13125819757816715
after,among,0.06315929043275846
after,an,0.09078566742597861
after,and,0.06722390509436375
after,another,0.1053682619663491
after,anything,0.12176205588641689
after,around,0.09050210781878032
after,aside,0.11239454397371104
after,behind,0.15733196929802162
after,below,0.08461883805517341
after,beneath,0.13310808003927913
after,beside,0.21392612504097613
after,beyond,0.10905934185882192
after,but,0.08692549422316202
after,by,0.10306271037021332
after,can,0.09499697992305134
after,close,0.11922640136837398
after,concerning,0.31475612714551177
after,could,0.1113196209532162
after,during,0.10133323814717403
after,either,0.10907818040624492
after,enough,0.09326186512908057
after,every,0.080537159726123
after,everybody,0.17695897324735468
after,everything,0.13623379668827065
after,following,0.09066791654672793
after,if,0.09757680405799551
after,view,0.17268717417407964
after,into,0.09012210623921647
after,its,0.10565630122179404
after,itself,0.07746927950352524
after,like,0.07574722454752654
after,little,0.06480425525093644
after,might,0.1130284290469647
after,more,0.06876151658074313
after,much,0.07857577502992424
after,must,0.11519690535103369
after,near,0.08010093205479203
after,next,0.1414234595363583
after,nothing,0.0667006976841076
after,notwithstanding,0.13863409846839025
after,off,0.11939029592007863
after,on,0.09689923596969341
after,or,0.08777798741271017
after,our,0.06181223405497412
after,outside,0.08504732150379621
after,over,0.08426092447648552
after,part,0.09606418881892922
after,past,0.09585301279335028
after,regarding,0.13642124354595503
after,round,0.1629918212408011
after,save,0.1704000522168499
after,several,0.16535616810915335
after,since,0.06203894132672223
after,some,0.06184377142429934
after,something,0.097838030748779
after,such,0.0806374467557263
after,than,0.14627098287044626
after,themselves,0.09497101880774866
after,these,0.06314636409083592
after,they,0.06906345749233316
after,though,0.15408983825904457
after,through,0.12092629396514498
after,toward,0.12355485696414924
after,towards,0.12858704219510309
after,until,0.10688424358564524
after,up,0.09530460164427171
after,used,0.102260382422592
after,various,0.0729320156335616
after,whenever,0.08155170559479348
after,wherever,0.16575533834559664
after,whether,0.11355811510608425
after,whose,0.12248598937139
after,will,0.11421076464487294
after,with,0.07634678214365503
after,within,0.07924499509092513
after,yet,0.06804946415460861
against,bit,0.10507408137546802
against,across,0.12346310334690472
against,after,0.0913778287135268
against,against,0.16344122389979715
against,all,0.12440169348928895
against,along,0.10637125712413242
against,alongside,0.1795067506083687
against,and,0.0894439866227949
against,any,0.06159454492677418
against,anyone,0.2581766765334597
against,anything,0.11790154212638859
against,around,0.125294013216511
against,behind,0.19003771783359827
against,below,0.11809077930836635
against,beneath,0.1912800597127558
against,beyond,0.11200376126995347
against,but,0.06776635459622486
against,can,0.0936030390358677
against,certain,0.09086322357465551
against,close,0.10526049939800317
against,concerning,0.36306744289071224
against,could,0.13653724015509655
against,down,0.06480530379216878
against,each,0.07466537101415409
against,every,0.10519188599859805
against,everything,0.15247862475164142
against,few,0.06130891009708352
against,instead,0.07510382059836117
against,it,0.06142605920566775
against,its,0.07608633523142201
against,itself,0.065455774012657
against,like,0.07213227360793271
against,many,0.08178027089569465
against,might,0.11950934461952664
against,must,0.10382241654061036
against,nevertheless,0.07306449071809512
against,next,0.11004438341005926
against,off,0.08938090902015995
against,opposite,0.13421072468937859
against,or,0.07648776283756217
against,other,0.11712695078005791
against,ought,0.0960170896114296
against,over,0.11088221079067895
against,part,0.16169109692334196
against,per,0.09605768375544534
against,plenty,0.18586817727633037
against,round,0.12152995447482695
against,several,0.09448518107953258
against,since,0.09114028062579135
against,some,0.09844139611797764
against,something,0.07874978555937881
against,than,0.10106265956045511
against,themselves,0.13902804318152504
against,they,0.061976459894459435
against,those,0.06142771757908931
against,though,0.14210111564454675
against,through,0.1394331632496055
against,to,0.06481027167954634
against,toward,0.13087372741591932
against,until,0.15436455081047323
against,up,0.08119416499827217
against,upon,0.09961478226519455
against,used,0.12089344373566334
against,what,0.07742755618964592
against,whatever,0.09788711625717454
against,whether,0.16038527244521006
against,which,0.11389471282095817
against,while,0.08233316188269886
against,who,0.07387773401008939
against,whose,0.11310033885378942
against,within,0.08838390840276272
against,yet,0.08359079667956093
ahead,all,0.07611276637456033
ahead,along,0.10966493648819495
ahead,alongside,0.16755210892827554
ahead,but,0.0604653703740126
ahead,by,0.08096881296669592
ahead,every,0.0860102730456361
ahead,most,0.07946365385644923
ahead,nothing,0.06784870899527583
ahead,one,0.10449893297863898
ahead,other,0.10977124476076806
ahead,our,0.12640333402356874
ahead,round,0.1372321697037331
ahead,some,0.11048832357683258
ahead,than,0.06586488225564344
ahead,then,0.11433878355470617
ahead,this,0.07232951099705694
ahead,upon,0.1385802281941055
ahead,what,0.07160209439326139
ahead,which,0.11883720097024868
ahead,within,0.07612977109056984
all,bit,0.07726057847280628
all,aboard,0.2652299877085564
all,according,0.06664014896901363
all,accordingly,0.08059342852278292
all,across,0.14897744662634704
all,after,0.15492826301302662
all,against,0.08845230565588923
all,alongside,0.24845559418919552
