source,target,weight
above,although,0.21230891984452407
after,than,0.176060115115138
against,if,0.18444921950625356
against,round,0.22336207993169055
along,along,0.19099481594715412
along,although,0.19352065784864964
along,away,0.18260811250584072
among,although,0.19429778986151044
among,away,0.1902707473079721
among,ought,0.19408777505532854
among,similar,0.20482785753179877
an,across,0.18931959423649494
an,along,0.19274257618967633
an,although,0.1791440611132215
an,anything,0.227458513313429
an,ought,0.20142584594390803
an,such,0.17171692853908113
an,than,0.17881632184412727
an,though,0.2349013207660866
an,towards,0.23290230486039443
an,unto,0.1977774080077972
another,round,0.17759269232958508
another,similar,0.18301209259787468
any,although,0.22812091722667646
any,however,0.17651246262393477
any,similar,0.20633161777354983
any,upon,0.18141900445352493
before,although,0.2532271172969727
before,enough,0.17946169537679554
before,such,0.17762296286267476
before,though,0.24674301083011135
before,used,0.1882955595226763
behind,although,0.21797253901358227
behind,similar,0.1860729124588734
below,although,0.24794420809769882
below,other,0.18316297126430112
below,unto,0.18024019236942998
beneath,although,0.2456213136772584
beneath,away,0.18070414329201842
beneath,round,0.22277012224064904
besides,although,0.26744252762469706
besides,upon,0.19080186060079604
between,along,0.18401518955268278
between,than,0.17140078816595697
beyond,although,0.23481653703192865
close,along,0.19703863942456928
close,although,0.2645448888654606
close,beside,0.21145156384499886
close,round,0.23237329139859086
close,than,0.1840063101000341
could,although,0.17859660649202813
could,anything,0.24900371640563837
could,round,0.1982553374445863
down,though,0.2408506707449185
down,towards,0.21082033234509498
during,although,0.18786267472545057
during,used,0.2032397156402513
each,across,0.1722414185006864
each,although,0.2048865640752647
each,round,0.1873387572526639
every,along,0.17841542109682854
every,although,0.2183351258889729
every,next,0.17585972962917748
except,anything,0.17202210300137757
except,part,0.1886941170494437
except,than,0.17243267587736463
for,across,0.19465290720798697
for,although,0.24974606521012535
for,anything,0.21516380449085332
for,beside,0.19588922152510382
for,ought,0.17539184598197874
for,used,0.18900498319309536
from,although,0.24081996408778747
given,although,0.19129262790211168
spite,can,0.17203285896847317
spite,must,0.1927700757726077
spite,than,0.18002847808224887
spite,upon,0.19142347009645566
view,upon,0.17711713819174607
view,used,0.1861705832638541
including,round,0.19688992599777716
into,although,0.23253047366849738
into,round,0.19727146141865584
into,used,0.17996700123814027
it,across,0.19609868974919611
it,although,0.2527219991706493
it,anything,0.1976012119430541
it,though,0.2533223932804775
it,used,0.17614419963283864
its,although,0.243546533443495
its,beside,0.2050162996838031
its,round,0.2306240462636242
its,such,0.18454638112484734
its,though,0.20485632703576082
itself,although,0.1715169483381899
like,although,0.1782682399903056
like,anything,0.22206713855743523
like,similar,0.19223438044424426
like,towards,0.23773810211464527
like,unto,0.19722749984155621
