source,target,weight
a,bit,0.1101566303514901
a,couple,0.08502602450585635
a,aboard,0.17436597036696067
a,about,0.06600815722198239
a,along,0.10204375243117965
a,alongside,0.1338553660129954
a,although,0.08142017430920072
a,amidst,0.08020908874064986
a,an,0.12227491126171393
a,anybody,0.06831653467222439
a,anything,0.06941607158088675
a,around,0.17909967562076978
a,as,0.06479039222673737
a,away,0.18235454940348683
a,because,0.10895150266566841
a,below,0.08744326010807907
a,beneath,0.16860494268455373
a,besides,0.09438686182621682
a,between,0.08745196132392474
a,both,0.06242707061498413
a,close,0.0773454277981353
a,due,0.07385420769073134
a,during,0.1761433410990808
a,either,0.06211710257374956
a,everybody,0.143390913392949
a,everything,0.19276526951590287
a,except,0.09601285068389387
a,few,0.08097943040270067
a,following,0.07358392402682547
a,given,0.12773155336699235
a,however,0.16469885717023852
a,if,0.07498814795426267
a,in,0.07193755752503807
a,spite,0.09187017373739668
a,its,0.06310975491452764
a,itself,0.07030334189846744
a,like,0.0665360933594691
a,many,0.09299117906220002
a,most,0.1489152906566345
a,much,0.08120710373940918
a,must,0.11308824494101524
a,need,0.14353173257293197
a,neither,0.08465438988799451
a,nobody,0.06338291366847199
a,none,0.09474262679285386
a,nor,0.08234016746666838
a,off,0.08378021193498088
a,opposite,0.09732607941261559
a,ought,0.08051871933709445
a,over,0.1534942013212638
a,past,0.09405785762477266
a,several,0.13083527605317063
a,since,0.09851290755118045
a,some,0.09595921100918371
a,something,0.10524372262451152
a,such,0.12650474032107362
a,than,0.08368962660777542
a,them,0.09555146152169393
a,therefore,0.15091958420399687
a,these,0.09623521334849656
a,they,0.0818591832221795
a,those,0.19277480290513624
a,though,0.08304468658281695
a,through,0.09011665333568054
a,till,0.10017661278121806
a,toward,0.09399783424667289
a,underneath,0.12099184794183698
a,until,0.07597783255328433
a,upon,0.13128576461637828
a,various,0.1244215853215526
a,wanting,0.06977310817199674
a,whenever,0.09508915257122247
a,which,0.13499037969852684
a,while,0.12499993873439276
a,who,0.08481828627757293
a,whose,0.15254566681235165
a,within,0.08241192604820291
a,without,0.11245740238660393
bit,bit,0.13712921841654338
bit,as,0.12208816823767518
bit,before,0.06251313908096601
bit,everything,0.15750471651527823
bit,from,0.07918648590553186
bit,into,0.08119415213397475
bit,many,0.06467951436466443
bit,must,0.09839538794287647
bit,on,0.06413211718166562
bit,they,0.10176054828236177
bit,till,0.10503308212076354
bit,upon,0.07548010971294863
bit,when,0.0765046959853608
bit,which,0.12884886598612807
bit,while,0.12196408839053559
bit,who,0.15395870747115303
couple,either,0.09567936668429869
couple,no,0.08304544916169763
couple,them,0.06669725805587182
couple,they,0.08655996711008594
aboard,aboard,0.12491485275861675
aboard,along,0.11593808027081666
aboard,any,0.0878701222199672
aboard,as,0.1098644199237986
aboard,away,0.08240171374771714
aboard,either,0.06785247684345358
aboard,enough,0.08184996877389121
aboard,few,0.1564374020559335
aboard,from,0.09141042950401305
aboard,it,0.07266112820618749
aboard,no,0.0707767892456085
aboard,off,0.07288761930516535
aboard,they,0.09092866934566095
aboard,which,0.12156658528132443
aboard,who,0.11006538883886155
about,a,0.06276589912812783
about,about,0.07767071952373293
about,along,0.0701379790449355
about,an,0.08900785760445572
about,any,0.07909978431001247
about,anything,0.10535461441627675
about,around,0.09765662884260717
about,as,0.09252497427779544
about,away,0.11246796530446655
about,barring,0.0871979297719517
about,because,0.13066437725916627
about,below,0.09233895828663441
about,besides,0.11881517776564952
about,between,0.07116358981903723
about,both,0.06741325185102191
about,everybody,0.11282421520995979
about,few,0.13217527337520857
about,from,0.0762528128743659
about,hence,0.08878312355013442
about,into,0.09250721856143791
about,it,0.06320070965974711
about,like,0.07326816893742583
about,little,0.1179351040002958
about,most,0.1485630922404176
about,must,0.06986846786970669
about,no,0.06586814877115563
about,ought,0.13300067320602668
about,over,0.11953838328316241
about,past,0.0706108681348308
about,so,0.11820453337780336
about,such,0.09070014494906412
about,than,0.08003508507199977
about,the,0.064323479813495
about,therefore,0.15754362990412799
about,these,0.08026033008637563
about,those,0.10480333525781495
about,though,0.0701369079134778
about,through,0.0877483384214257
about,toward,0.180600403778633
about,until,0.08154522008095837
about,upon,0.07927441657182378
about,used,0.07036190161411193
about,what,0.08617605462770718
about,which,0.06514206154464465
about,while,0.07498009278234073
about,who,0.10903094195241106
about,whose,0.07454240438534666
about,within,0.06961122689913873
above,an,0.0695637211511385
above,and,0.07206799098135566
above,below,0.10437936559783965
above,both,0.0720842325689936
above,considering,0.07082817496043393
above,from,0.079657484192911
above,into,0.09520911425260532
above,it,0.0762313229344841
above,like,0.14049114635878615
above,many,0.07944812537583655
above,much,0.07086785606771051
above,neither,0.10545649067483687
above,no,0.07282498965625003
above,nor,0.10013629638661231
above,one,0.06916231913781466
above,opposite,0.08552893130596922
above,over,0.14372514861047297
above,several,0.1039047579243195
above,since,0.10796247975682159
above,some,0.0782694494766598
above,such,0.09517957039426149
above,than,0.07109912835709009
above,them,0.09556359827915167
above,these,0.062391056133179114
above,until,0.094419689545031
above,which,0.14167222437971264
above,who,0.0654922130867328
above,whom,0.09702193531409098
absent,as,0.0646040036915695
absent,so,0.09447355994029914
absent,they,0.09360425966536638
absent,while,0.09466028956331755
according,as,0.1013717802079465
according,away,0.07276553384013032
according,for,0.07452660195486456
according,from,0.0646095185363478
according,it,0.08261431167227014
according,like,0.09753584083720762
according,to,0.06296127926361578
according,whose,0.11875239828059413
according,yet,0.06384148657991986
accordingly,alongside,0.06313626019061443
accordingly,from,0.07103095860218904
accordingly,these,0.08150063296381595
accordingly,this,0.06353912808478968
accordingly,upon,0.08583086269052054
accordingly,which,0.07871212247708459
across,bit,0.1093109493638273
across,after,0.10502584174431329
across,an,0.0896219829959834
across,away,0.15103672237943522
across,barring,0.08698125332392859
across,between,0.11097533858037185
across,due,0.0653744607636631
across,from,0.09154823583506581
across,inside,0.10694461273917487
across,into,0.06367350845679617
across,it,0.08866154008595026
across,like,0.08457593422907052
across,must,0.07472540356984647
across,no,0.09802457487722914
across,once,0.0765799564190759
across,several,0.15300376495558182
across,than,0.1020219907851931
across,them,0.07234459330871117
across,they,0.08995939566331529
across,through,0.08215590162709391
across,under,0.06966224595989025
across,upon,0.14802269465867401
across,which,0.13749566474164313
across,who,0.14936623968429913
across,without,0.08122882554492339
after,couple,0.08615563697520898
after,about,0.07082473941032251
after,alongside,0.10135512587998832
after,an,0.11536987555601948
after,any,0.06650122933363492
after,anything,0.10608363515060583
after,away,0.17506361128193904
after,besides,0.08875212796502163
after,during,0.12218019111559836
after,every,0.1000655927853356
after,except,0.08449268693211925
after,few,0.13100742873811605
after,given,0.08273528314789426
after,if,0.06615514284276892
after,it,0.06654985087581551
after,like,0.09454698567062957
after,little,0.06351019081920452
after,much,0.08817028416180074
after,nobody,0.07034589552000176
after,none,0.07620508382976993
after,nothing,0.06434634129786013
after,over,0.1083146997792218
after,several,0.06470230485548187
after,shall,0.06461652041424336
after,so,0.07947858823260216
after,such,0.16836249506364098
after,them,0.10019207958892898
after,themselves,0.08990634567940592
after,these,0.08356755837579538
after,till,0.09405112694226012
after,to,0.09214006048474944
after,upon,0.1524330668122073
after,which,0.11782690216579625
after,while,0.13592123418538157
after,who,0.1248057609070176
after,whom,0.08235645889601356
after,whose,0.18804786705101506
after,with,0.07078160449509817
after,without,0.1089945529224928
against,about,0.06418461878798164
against,along,0.07308826653345332
against,although,0.06241872490842192
against,and,0.0668318765797129
against,anything,0.10677427434242656
against,away,0.15824522271287064
against,besides,0.11951394584935777
against,both,0.06855744029391604
against,but,0.06757665210804631
against,can,0.06385945890169914
against,every,0.08256732747514031
against,except,0.06704762104294362
against,like,0.07318935225940275
against,little,0.08098652284943321
against,many,0.07468002693147384
against,nobody,0.0874366800523197
against,on,0.06675233955906065
against,out,0.06469358454344848
against,over,0.10237335623971175
against,save,0.0797755585230792
against,such,0.16604024025831532
against,them,0.06292254645548623
against,then,0.08175674566177264
against,these,0.13549609691992198
against,though,0.07937366479425269
against,upon,0.1019768110006328
against,which,0.06498143530186648
against,will,0.062474476375116876
against,within,0.06763287033001908
against,would,0.06300740061718572
against,yet,0.07395959385918009
ahead,a,0.06733856112315714
ahead,any,0.0812302609351799
ahead,besides,0.14848565326450056
ahead,if,0.0829507283420553
ahead,more,0.07109402175980646
ahead,once,0.0769829799212865
ahead,the,0.06370929574899041
ahead,these,0.12886105630671438
ahead,until,0.09499262942445655
ahead,who,0.14027838572870388
albeit,of,0.07791879833195046
all,bit,0.0963386568889949
all,aboard,0.19231278610832594
all,ahead,0.06273102228396377
all,any,0.07290910927662769
all,anything,0.06618412256629932
all,around,0.11382417836813286
all,away,0.11873919015400615
all,because,0.07261868417377693
all,before,0.10211369781779583
all,below,0.10303442438197156
all,besides,0.1606044206757263
all,between,0.1182743053654761
all,both,0.1154260967114137
all,but,0.09166425329537078
all,during,0.08998454144961106
all,enough,0.08948008347340075
all,everything,0.1732439410442988
all,except,0.11439525917467815
all,few,0.1372428808527234
all,given,0.09682216026899607
all,however,0.15980847249206087
all,inside,0.12765758984225115
all,into,0.070184426862506
all,like,0.14490052737764345
all,little,0.10223624469133231
all,most,0.07799624797529928
all,much,0.07400058626299641
all,must,0.12296321578921383
all,need,0.13425381513145057
all,none,0.1087834377640886
all,opposite,0.09562454322157447
all,over,0.07810181918587093
all,per,0.06525151091798465
all,round,0.08347011750960014
all,save,0.10122735695073479
all,several,0.12474239627991413
all,since,0.1085104172923864
all,so,0.09018254570873892
all,something,0.08264205611989117
all,such,0.08254188583852487
all,them,0.07340430117375134
all,themselves,0.11914845028969721
all,then,0.07329424294841426
all,therefore,0.15100172140446302
all,these,0.10814169505767342
all,they,0.065047610904468
all,those,0.10990844193712451
all,till,0.11006112727881287
all,toward,0.08169453962334222
all,under,0.06316779099862564
all,until,0.06353873040014847
all,upon,0.16378530042029588
all,whatever,0.07919328479156149
all,which,0.07505423150538114
all,while,0.08440607586818853
all,who,0.07718879366806138
all,whom,0.07347963523992203
all,whose,0.14520662842690146
all,with,0.09879651856193089
all,within,0.1100825481715024
all,without,0.09859813388850973
along,about,0.07525720113485312
along,as,0.08271623579702585
along,both,0.06536211405876567
along,either,0.06754168951468033
along,every,0.07027722749134824
along,few,0.0728061254130408
along,into,0.06836277864839965
along,off,0.06519312989379798
along,them,0.07726944047125442
along,toward,0.1154967825836939
along,towards,0.07712816892210034
along,whose,0.07143991815116335
alongside,aboard,0.14372468243099035
alongside,after,0.1026556334123487
alongside,an,0.08540858096519859
alongside,as,0.10281189061659089
alongside,enough,0.11717073465094872
alongside,few,0.06823305923409115
alongside,neither,0.12446295130302029
alongside,over,0.12166124973225499
alongside,round,0.09965053620171573
alongside,so,0.0649184892655721
alongside,they,0.12928744372385645
alongside,under,0.07114673269701878
alongside,us,0.06404103597820947
alongside,when,0.08999477045369186
alongside,who,0.10133212526415641
although,along,0.10605181709832535
although,although,0.08081162242554013
although,an,0.07092040614954902
although,away,0.14240921829566347
although,because,0.07728891355465717
although,behind,0.07028591123521952
although,besides,0.06582139753778672
although,little,0.10181843723717775
although,something,0.06425801013634386
although,then,0.06903715340798697
although,these,0.11231168666476765
although,under,0.10523688907333106
although,upon,0.09133680862827906
amid,amid,0.0823946089929056
amid,the,0.0733502592390231
amid,to,0.08549839155113831
an,after,0.07034064323710436
an,alongside,0.07109770124825862
an,although,0.09032301385514384
an,and,0.07860512606176415
an,any,0.10384999227042847
an,anything,0.11904203961832903
an,away,0.09137035829490779
an,because,0.09840403520264938
an,before,0.06651626826581887
an,besides,0.11297343093308986
an,between,0.10430316904729503
an,both,0.07003573184319084
an,enough,0.0864091262373672
an,every,0.07624066697926765
an,everything,0.24210222385793453
an,except,0.13753569057317316
