source,target,weight
about,though,0.2546431296487257
about,towards,0.24066259393985664
about,whereas,0.2242796085240677
above,around,0.21930106287893833
above,towards,0.22139261742863767
absent,though,0.252583182227622
across,round,0.23625486908098703
after,though,0.2468426498929513
albeit,whereas,0.2266258641858211
amongst,around,0.2567121529576636
an,though,0.23951708759017648
another,around,0.22122022325406202
another,round,0.27568744471247786
another,toward,0.22080065281092986
any,though,0.2512743719983976
anything,around,0.22708316980438847
anything,whereas,0.23902790500452117
away,couple,0.22122628289559493
away,around,0.22309992891634928
away,round,0.2509201902386565
away,save,0.22512632533560467
away,though,0.24041295139796603
away,toward,0.21966485899202845
before,around,0.24003694536727632
before,round,0.2517215552694662
before,though,0.2652125365806013
behind,around,0.22582363574331618
behind,beside,0.2516519320897262
below,around,0.23831635853363853
beside,beside,0.26303269214975683
both,around,0.22009710337694385
but,dare,0.23878785856115708
but,though,0.2454289637119244
but,towards,0.2502039525344406
by,though,0.23690640130267338
by,towards,0.2851375472247152
can,couple,0.22258004674211052
can,around,0.2252800936493306
could,though,0.2546248237748802
down,couple,0.23204615930152528
down,beside,0.2240077800275294
down,though,0.23240413495159415
down,toward,0.22175852176021776
down,towards,0.25839810577370687
during,around,0.23843741270620938
each,around,0.24147649113697536
each,beside,0.23111581989125965
enough,around,0.22769779752150948
enough,round,0.2642733035788529
enough,though,0.2499050566737466
every,round,0.24238442041014627
few,save,0.21930286899682705
few,though,0.24375319138718676
for,beside,0.26318693578022445
for,dare,0.24151752413978914
for,round,0.2638074116654814
for,towards,0.22123562972562863
for,unless,0.22099160694138445
however,round,0.2543158720188767
if,around,0.23321711936519748
if,dare,0.2206197585404722
if,everybody,0.22637529129101142
if,round,0.24289958779328857
if,though,0.22432076883114319
into,couple,0.2429472567973192
into,around,0.24641755301402227
into,consequently,0.22091226746841935
into,similar,0.21967317889423746
into,though,0.27587880443113016
into,whereas,0.24351627506445292
its,around,0.24523924861924531
less,around,0.21952004881352238
like,couple,0.22296120073706338
like,round,0.22154863652777956
little,beside,0.22140422715045682
little,round,0.2537686449717543
little,whilst,0.23096969292211988
many,whilst,0.23859321644005993
may,save,0.220263695436128
may,though,0.25103656244309963
may,toward,0.21976344706934312
might,though,0.24486780895552837
more,around,0.2354590860405153
more,round,0.26007260397728443
more,whereas,0.24148343391859017
more,whilst,0.23047690641801954
most,whereas,0.23975010301889096
much,round,0.2398880430393946
next,though,0.23942028162786524
no,round,0.24704840888501153
no,though,0.24429510788568393
no,whereas,0.262589160409536
nobody,around,0.23692062373046963
nobody,towards,0.2709349025107451
none,though,0.2515127865421954
none,toward,0.22914232149688404
nothing,around,0.23021663128649805
nothing,toward,0.23056809947310877
nothing,whereas,0.23710544315533105
off,round,0.2463082945424755
off,whereas,0.2394325748779038
on,around,0.23477122068923179
on,beside,0.2696168016665556
on,though,0.24053237382891265
on,unless,0.2351710215437765
once,round,0.27498919918386416
one,beside,0.24538255161304823
one,round,0.22658005439171355
one,though,0.2649762319058181
one,towards,0.22549586684279133
one,whereas,0.25380695027239886
or,round,0.258494031979911
other,around,0.22589948492701686
other,though,0.22928882295592726
other,towards,0.2221329209582769
ought,towards,0.22822224348665027
ought,whereas,0.2568607701786006
our,though,0.228903303637616
our,towards,0.2547216899781197
out,round,0.2715235061341571
over,around,0.23208207335783376
over,towards,0.22353945317411372
part,around,0.23178370266431203
shall,shall,0.24030061037132266
shall,though,0.26078464214396496
should,around,0.23467103324629515
should,though,0.2466670381291788
since,around,0.24240622143899318
some,around,0.23150875496246984
some,round,0.27697226621352977
somebody,though,0.2338313101463404
the,round,0.2385218867854893
the,towards,0.2622145449187125
the,whereas,0.21978812106694948
them,couple,0.24628755470965116
them,around,0.2636827515583055
them,beside,0.25333245293660633
them,consequently,0.21980730057095732
them,save,0.22168404033922215
them,though,0.2266948346165931
them,whilst,0.2372113044306003
themselves,beside,0.2621174022318746
themselves,though,0.2212820943641315
then,round,0.2678938923241435
thence,around,0.24549771251481864
thence,toward,0.2276704647611336
therefore,round,0.22895518806987902
these,beside,0.22189083853064423
these,whilst,0.2329727573037616
they,whereas,0.22239724585357057
they,whilst,0.22357055157146324
this,consequently,0.241208353567895
this,save,0.23375894299034147
those,whereas,0.24697593700381779
though,round,0.2537637542589951
though,though,0.22045688919811562
through,around,0.23531579355647997
through,round,0.2575669931576918
through,save,0.22708287749882106
through,though,0.2439462033316033
through,whereas,0.27236937558050195
till,round,0.25611046138090193
toward,round,0.2639909090856791
under,around,0.2351533312596247
under,whilst,0.23334171665571304
until,according,0.22618225749799636
until,beside,0.22030508743574828
until,everybody,0.22637038835801862
us,beside,0.22899903273513092
us,though,0.244819848928595
us,towards,0.24836232319173268
us,whereas,0.24420992919479287
used,couple,0.22506850892549587
used,though,0.22698418718905466
used,whereas,0.2329819315811942
what,though,0.25331473538407157
when,though,0.23421560088739718
when,whereas,0.23224960392191477
where,couple,0.23213993043749953
where,everybody,0.22923774112395984
whereas,whereas,0.22030223720963538
which,though,0.24515635557907245
while,whereas,0.22422897297457187
who,whereas,0.2353790697391102
whose,around,0.2633519158373085
whose,shall,0.21955966787467912
whose,though,0.25289399028012194
will,though,0.27200129000081175
will,whereas,0.26932563384604663
with,shall,0.24616342664757176
within,round,0.23782507476324366
without,towards,0.26516479708960405
would,around,0.22081449179456822
would,round,0.24067440924394337
would,though,0.24715350540946543
yet,round,0.2691158013298836
