source,target,weight
couple,less,0.14942395364822472
couple,much,0.1564595523615228
about,among,0.16584397296243733
about,aside,0.16822619809107192
about,because,0.15864279303917378
about,can,0.12878473469340807
about,dare,0.17866527964842702
about,everything,0.17295961078469232
about,however,0.20594679214393927
about,many,0.13632960482806736
about,much,0.14107461936756796
about,near,0.198914183753811
about,nobody,0.13008903963868684
about,our,0.21151456341552238
about,round,0.16669271833043497
about,since,0.1368119542058667
about,than,0.12155545452066256
about,this,0.12516748374987885
about,those,0.12235342024325455
about,toward,0.124310150047489
about,until,0.1908002981755187
about,us,0.13202441906947074
about,will,0.20576674216047644
above,against,0.13352381692655094
above,along,0.14893357300278248
above,among,0.15329772181079274
above,because,0.13145336188168535
above,its,0.13826655980349023
above,little,0.12791257149452853
above,round,0.14983716886355516
above,some,0.12294472602468114
above,toward,0.18756100724028274
above,under,0.12903703075233453
above,upon,0.25245264425986
absent,everything,0.1216540858115639
absent,those,0.12113180259522222
across,across,0.1563073313651284
across,beside,0.12859961301360787
across,beyond,0.1357122434407787
across,but,0.12615964768616356
across,its,0.12675028309578493
across,near,0.14614563936559583
across,our,0.13032313360889303
across,toward,0.17720754958872212
across,upon,0.2067961234842429
after,among,0.14596421765076953
after,around,0.16525620572767097
after,aside,0.13697293717640013
after,because,0.1728671080710662
after,between,0.1504428808672449
after,both,0.1660134158203702
after,either,0.14974186296086617
after,however,0.2330546423097639
after,view,0.14570830223168116
after,less,0.13503276624220856
after,many,0.1960592882184719
after,much,0.18194828942879981
after,or,0.13606133150276545
after,ought,0.12549803026157796
after,our,0.16673670658352524
after,part,0.12268054148021079
after,plenty,0.13260677155750902
after,round,0.15814298737416763
after,since,0.17448826207729481
after,toward,0.13015282532025002
after,under,0.1389801305005424
after,until,0.1981900166055968
after,upon,0.19660772770454976
after,us,0.18923948470476878
after,whether,0.1710568278794346
after,will,0.21369648879262446
against,other,0.12642299014243108
ahead,along,0.15175846805829424
ahead,between,0.1634713562807704
ahead,but,0.11806828695805378
along,against,0.17073479315192602
along,along,0.17787905618614652
along,between,0.14588211288717445
along,little,0.13320763258962498
along,or,0.15012968439136026
along,under,0.137998448607186
among,against,0.15000298451337768
among,because,0.14196061532688778
among,by,0.11755702476772384
among,everything,0.1745128005948802
among,many,0.15034906540815468
among,much,0.139982286985029
among,on,0.11784160460567007
among,once,0.12796077705942355
among,or,0.13543271945730262
among,our,0.15259731065981488
among,so,0.12887416747939706
among,this,0.14728867528802134
among,us,0.1404681944802065
among,will,0.19049243824417356
among,within,0.15066873369363817
an,around,0.14606250077368638
an,certain,0.11971424779314314
an,however,0.15503150279669026
an,most,0.16942460289765465
an,till,0.12103803002938344
an,will,0.14316287074752465
and,accordingly,0.1975812190578902
and,against,0.17005529331734673
and,along,0.18257615931904314
and,around,0.14560945477438378
and,because,0.19469946793379161
and,between,0.14017895432749136
and,dare,0.1321423263753439
and,everything,0.1388633390458858
and,however,0.15471506572865876
and,its,0.1425579145925158
and,less,0.130901644486534
and,much,0.13876064152129292
and,near,0.15224851094547362
and,nobody,0.14444871233087697
and,or,0.12505168208163991
and,our,0.1473777646269188
and,round,0.13453538235753348
and,several,0.19820478851618784
and,similar,0.13063393519504138
and,thence,0.12126657518718102
and,those,0.14803180987177364
and,throughout,0.13813552462499593
and,toward,0.12235076491229016
and,until,0.22228147609031873
and,upon,0.20317031568920094
and,whether,0.13251495930060542
and,will,0.1207664737413386
and,within,0.21339770497100885
another,against,0.15965145742465747
another,all,0.11814442019145457
another,among,0.16276362092432184
another,because,0.1356503127414003
another,between,0.1485376711702235
another,view,0.15250436394536016
another,many,0.11762110779583732
another,much,0.1538829834148991
another,or,0.1392201877453774
another,our,0.18199446638825484
another,part,0.13109379906762175
another,since,0.14946286976043605
another,some,0.15118614010962683
another,under,0.1193638383180198
another,whether,0.18417141340700516
another,will,0.15750968650671726
any,against,0.13690367100151515
any,around,0.20237452692208643
any,because,0.17107004874119636
any,between,0.15376651295452634
any,both,0.14561830759325325
any,everything,0.2020120357828818
any,however,0.1527246230215348
any,view,0.14805906809833558
any,many,0.14344694647133427
any,much,0.16857266491674425
any,near,0.13255039166818322
any,nor,0.17174716450882538
any,ought,0.12904046814949155
any,our,0.14473271993410394
any,part,0.13649351525704564
any,since,0.13994512496575406
any,toward,0.1423447673913328
any,upon,0.209205670166421
any,whether,0.1693425577159942
any,will,0.1873681312974479
any,within,0.14459833664324512
anybody,against,0.15743147111348826
anybody,because,0.1233720981400267
anybody,everything,0.19876269460479531
anybody,much,0.12188533297061718
anybody,our,0.17344744264991283
anybody,this,0.14140844511586514
anyone,along,0.1416292682294901
anyone,because,0.14617263403089054
anyone,or,0.11834446173517181
anything,another,0.12002667642745349
anything,aside,0.13222803754943094
anything,because,0.1270076580611048
anything,between,0.15388543434817228
anything,less,0.1370059143631869
anything,much,0.13571305854985716
anything,ought,0.12561757006953914
anything,our,0.1597490114593388
anything,since,0.16457166599859202
anything,some,0.14358627707543067
anything,toward,0.13295061180986936
anything,upon,0.2404839009404941
around,around,0.13804307294816512
around,because,0.1791360070834098
around,but,0.1300624148187291
around,its,0.1743228230655096
around,many,0.1878258634572191
around,or,0.14510868918025274
around,through,0.12539165229435023
around,under,0.1547681001763992
as,across,0.1619830641242908
as,against,0.12537908888996396
as,along,0.16264250422600493
as,around,0.17873862421069844
as,because,0.20859541694599756
as,between,0.16379764286440268
as,both,0.12266644624236338
as,but,0.13805304394838921
as,can,0.12382055110464214
as,everything,0.1623375416923848
as,however,0.20590637137563755
as,view,0.17376634376548528
as,its,0.14821888292340368
as,less,0.18752493526924838
as,many,0.18393816310830832
as,much,0.15474155826990438
as,near,0.14612943889841976
as,nobody,0.15096205740535523
as,nor,0.14229500152961083
as,or,0.1508725634305327
as,our,0.15260633500785303
as,several,0.1702037544895228
as,shall,0.12499394113980358
as,similar,0.13652985639271645
as,since,0.15502273932294025
as,some,0.14363730429829827
as,this,0.13950175287721317
as,through,0.1353831414667497
as,toward,0.19608948117057434
as,upon,0.2507106959348981
as,various,0.12059992592213747
as,will,0.2319718877561955
as,within,0.14972914226024162
away,above,0.11983229775002831
away,much,0.13410584940638914
away,round,0.13713881092987265
away,upon,0.20000947367838184
bar,against,0.13306349793387248
bar,this,0.1401338173623406
because,around,0.17359869308902248
because,dare,0.16529928399994095
because,many,0.12750113099966134
because,much,0.1375238849905777
because,our,0.12985875811228556
because,round,0.143865295556476
because,since,0.15457631762022966
because,throughout,0.13972109844675992
because,toward,0.1422213803663155
because,whether,0.13616135426562453
because,will,0.12280056600814009
before,across,0.11953323224266549
before,after,0.12561057201862266
before,against,0.15726846339151432
before,along,0.15903836227840262
before,around,0.17127056675932814
before,because,0.1717733940843278
before,between,0.16883522509053916
before,beyond,0.1251029439811398
before,but,0.14202983382639736
before,either,0.12456556720468406
before,everything,0.20242399874042485
before,however,0.22281763831146487
before,view,0.13973992346474717
before,its,0.16105192222830986
before,many,0.178381983881132
before,much,0.1195866501303453
before,near,0.17070684486657067
before,none,0.14481057809634165
before,nor,0.14579602877158904
before,once,0.12937727559049253
before,or,0.12182209955625056
before,other,0.13007638992356949
before,ought,0.1418543656978935
before,our,0.15736925358524503
before,several,0.16978415885002152
before,some,0.13641283589407152
before,those,0.1403164902221561
before,toward,0.1351755573264613
before,upon,0.21198565506994207
before,whether,0.1250310908897809
before,will,0.22052556049333313
before,within,0.18136567549069973
behind,between,0.1455716230805179
behind,its,0.12263192662013142
behind,little,0.1383055420838417
behind,so,0.16016057652305613
behind,through,0.13740164121646367
beside,both,0.16913208309010275
beside,or,0.1592427979436282
beside,so,0.1270264167430236
beside,some,0.12211449186581388
beside,this,0.15014744216473902
besides,much,0.12030116189094268
besides,or,0.14882641888615783
besides,this,0.13767930623817215
between,along,0.15752660473769894
between,around,0.1513214511114387
between,aside,0.1448302580085526
between,can,0.12713177886440377
between,however,0.15397390359590185
between,much,0.16374164239262148
between,near,0.1871600612972847
between,round,0.11930745544101647
between,this,0.16182128240247512
between,us,0.18124199618848522
between,within,0.18709345534106422
beyond,across,0.14474579354114048
beyond,along,0.1266847852903391
beyond,because,0.2317064095149745
beyond,everything,0.20837513640706745
beyond,its,0.12225493740654501
beyond,little,0.11921708428501392
beyond,much,0.14060977583999584
beyond,or,0.13804750650019634
beyond,several,0.21104020406744578
beyond,through,0.11988941019077766
beyond,toward,0.17747806115679585
beyond,will,0.2147886783635052
both,after,0.12879739606098006
both,among,0.1486029202191612
both,between,0.13454865709413452
both,view,0.13458505271736115
both,its,0.1421205245761589
both,little,0.13584734146997812
both,much,0.19051121793716005
both,on,0.13369903585431567
both,us,0.11860315221174995
both,will,0.20973515193297462
but,after,0.13871785293430847
but,against,0.1435515496711273
but,along,0.17244183765209894
but,around,0.18531371463751178
but,aside,0.1400016534691778
but,between,0.11867976274950784
but,but,0.12110482874519207
but,dare,0.1536044191202676
but,everything,0.19226742096952448
but,however,0.15549749751377145
but,view,0.1267235053437474
but,less,0.15511596490356688
but,little,0.1382161118535211
but,much,0.13065614738606118
but,near,0.1601797531365048
but,or,0.15140336893932477
but,our,0.16540801451603052
but,plenty,0.12392840644354745
but,round,0.1408375938949705
but,several,0.1332449107401269
but,since,0.18825478511479052
but,some,0.1585351684493983
but,thence,0.1289804569291535
but,those,0.14441012271898063
but,throughout,0.14841205553827166
but,toward,0.1916346611997031
but,under,0.15217887324606713
but,until,0.20707812983587173
but,upon,0.26513851906297975
but,will,0.18261698534307122
but,within,0.19292177224810722
by,around,0.15686592773742114
by,between,0.16106767426574004
by,however,0.17045707774247004
by,none,0.13279493431902692
by,our,0.11913012438033427
by,round,0.11762729854765729
by,several,0.16843018968151888
by,upon,0.18811648679799978
by,whether,0.12966405316363214
by,will,0.15052418145253244
can,across,0.1581893385534772
can,against,0.1623802581000383
can,around,0.15377321264074895
can,because,0.11814996699589628
can,beside,0.12158900156941166
can,between,0.12479433418718752
can,either,0.1359115298391651
can,everything,0.1452142804635282
can,its,0.1638833096453084
can,less,0.12214770553723066
can,little,0.13927241770076687
can,much,0.12897111746501747
can,none,0.16838494733212395
can,on,0.1279018974646747
can,once,0.13109708262871905
can,ought,0.13339426777654645
can,our,0.20166656589124574
can,shall,0.12165137337778206
can,some,0.14196409687465184
can,through,0.12201558133465792
can,toward,0.16569173589564376
can,will,0.2074389894307722
can,within,0.16620793834570485
certain,because,0.16550095989258493
certain,between,0.14577739698181963
certain,little,0.12349675358531575
certain,many,0.15860555752632544
certain,on,0.11884591041582154
certain,this,0.1545557106789924
certain,upon,0.2551859167943427
close,across,0.15322661291618023
close,among,0.12496723177937888
close,between,0.14992511236924252
close,its,0.16812590120176968
close,less,0.15024324867470557
close,or,0.14789491256460024
close,some,0.11967890643951662
close,this,0.11805712439702756
close,upon,0.24278991946223782
concerning,everything,0.15358121840751737
concerning,or,0.1477965068323303
concerning,several,0.221371179029946
could,couple,0.12300085014044586
could,against,0.11848445351242647
could,around,0.14351479395052666
could,aside,0.16503418280334511
could,because,0.14507139541959785
could,between,0.1711006749521917
could,both,0.16324157770814587
could,everybody,0.12615822075707478
could,everything,0.1874553309856933
could,however,0.16914308852789214
could,much,0.13768832442385082
could,nor,0.17093892718141954
could,or,0.13213231384620555
could,several,0.22091884056838057
could,some,0.142155912477441
could,this,0.14257762982594743
could,under,0.12991872632117343
could,us,0.16490531698787794
despite,its,0.12195386657312388
down,beside,0.12616037463386534
down,either,0.1425251822867448
down,however,0.17424590004805812
down,its,0.12765871119914185
down,many,0.12280960787055716
down,much,0.17495677735528814
down,near,0.16750918036671392
down,part,0.11869465224159136
down,several,0.13789720523624366
down,since,0.15693756104681406
down,so,0.12641956874014224
down,some,0.12392197056805418
down,toward,0.1217759243009839
down,upon,0.22223616505677193
down,us,0.16203493889452625
down,various,0.1305232450078874
down,whether,0.1826345090246377
down,will,0.16176361005679332
down,within,0.1642043501785267
during,all,0.12261890104850291
during,another,0.13154377416947524
during,between,0.13591274299614742
during,its,0.14159712649435197
during,less,0.15391413516126565
during,most,0.12738947334878084
during,several,0.17857429810927422
during,since,0.15158956634439585
during,some,0.1475802394724092
during,these,0.16145856293917843
during,this,0.13047060612207512
during,those,0.1511855294869719
each,along,0.1383188753224397
each,because,0.18684380881947144
each,many,0.12622499468970994
each,much,0.15050153197824065
each,several,0.18190661672101943
each,since,0.1657659694456509
