source,target,weight
all,spite,0.1626223995473598
all,little,0.16387133530926012
and,spite,0.1626487844451102
away,might,0.16297263168665202
down,little,0.16666611500091374
everything,till,0.1647426970288566
its,till,0.17640905130739354
must,away,0.16296693678171822
of,spite,0.1699370527159083
round,till,0.16218132816091638
some,till,0.16800740895332483
something,spite,0.16422319830655557
though,till,0.17067513905056686
us,till,0.17190944645941073
what,spite,0.16736666822771662
when,till,0.18366215210109316
who,little,0.16896220919914517
will,till,0.1649576717919145
yet,spite,0.1627171713053289
yet,till,0.1762436889130849
