source,target,weight
after,upon,0.15776807586895714
along,many,0.1553602766208371
and,upon,0.15431616213373278
another,our,0.1535111448708349
before,our,0.15790685552609687
beneath,our,0.16319693386478162
beneath,upon,0.16035154992604883
from,according,0.15407883737827752
it,our,0.1525253185764776
many,our,0.16359987188102265
may,our,0.1567976033380623
may,upon,0.16958827468542506
several,upon,0.16192994936766048
some,then,0.15875287671612054
than,notwithstanding,0.1534166583530246
that,notwithstanding,0.15284860982604098
them,many,0.15473363203005505
then,upon,0.17174516688337166
up,our,0.15760427720163225
whom,according,0.15510080431435153
without,upon,0.15813505571440578
would,our,0.15427828930697052
